Unnamed: 0,Atleta,Equipe,Equipe_Janela_Análise,Posição,Posição_Wyscout,Código_Posição_Wyscout,Idade,Valor_Mercado,Fim_Contrato,Jogos,Minutos,Nacionalidade,Passaporte,Pé,Altura,Peso,Empréstimo,Passes_Longos_Certos,Passes_Frontais_Certos,Passes_Progressivos_Certos,Duelos_Ofensivos_Ganhos,Dribles_BemSucedidos,xA,Assistência_Finalização,Passes_TerçoFinal_Certos,Passes_EntreLinhas_Certos,Passes_Chave,Liga,Base,Versão_Temporada,RF_Rating,ET_Rating,Rating
0,Robinho,Paysandu,Paysandu,"AMF, RAMF, RW",AMF,9,36,200000,2024-11-30,18,875,Brazil,Brazil,right,175,70,no,2.47,13.782528,8.745474,2.058498,0.413292,0.21,2.16,7.404683,0.206646,0.41,BRA2,Testing,2024,0.6610507872447112,0.6224817317531015,0.6417662594989064
1,Giovanni Augusto,Chapecoense,Chapecoense,"AMF, CF",AMF,9,35,300000,2025-04-30,25,1416,Brazil,Brazil,right,177,71,no,2.291513,8.072822,5.529265000000001,3.748382,1.334016,0.26,2.1,6.163782000000001,0.19089,0.57,BRA2,Testing,2024,0.8447456587879972,0.7976958160271462,0.8212207374075717
2,Giuliano,Santos,Santos,"AMF, CF",AMF,9,34,900000,2024-12-31,26,2148,Brazil,Brazil,right,174,68,no,0.672,7.124206999999999,3.225612,1.549146,0.46312,0.05,1.09,4.737677,0.0,0.17,BRA2,Testing,2024,0.00934680360931267,0.02292956845547875,0.01613818603239571
3,Élvis,Ponte Preta,Ponte Preta,"AMF, CF",AMF,9,34,350000,2024-12-31,29,2377,Brazil,Brazil,right,175,73,no,4.73244,9.744480000000001,7.732800000000001,1.42029,0.6722489999999999,0.25,2.25,7.260157,0.9059419999999999,0.75,BRA2,Testing,2024,0.6207367581721009,0.6285962611865936,0.6246665096793473
4,Josué,Coritiba,Coritiba,"AMF, CF",AMF,9,34,600000,2025-12-31,10,721,Portugal,Portugal,left,174,75,no,2.743704,12.359145,5.866496000000001,2.495288,0.625,0.14,2.37,7.8624,0.124323,0.25,BRA2,Testing,2024,0.6021318823522874,0.5519133210910913,0.5770226017216893
5,Serginho,Santos,Santos,"AMF, RCMF, CF",AMF,9,33,0,2024-12-31,18,960,Brazil,Brazil,right,166,62,yes,1.407636,6.279546,3.938725,2.8128,0.940047,0.13,1.59,4.220026999999999,0.0,0.75,BRA2,Testing,2024,0.3594835185506454,0.3439712734406645,0.3517273959956549
6,Marlone,Chapecoense,Chapecoense,"AMF, LCMF, CF",AMF,9,32,250000,2024-12-31,22,1081,Brazil,Brazil,right,180,76,no,2.912612,7.242311999999999,4.328202,1.998472,0.5815800000000001,0.15,1.33,6.661007999999999,0.0,0.0,BRA2,Testing,2024,0.2448487719946886,0.2562546723733814,0.250551722184035
7,J. Cazares,Paysandu,Paysandu,"AMF, CF",AMF,9,32,500000,2024-12-31,15,902,Ecuador,Ecuador,right,171,63,no,2.403041,8.363835,6.378380999999999,1.883697,0.9375,0.26,2.93,5.961501000000001,0.416,0.63,BRA2,Testing,2024,0.5047468072602727,0.5241670912629525,0.5144569492616126
8,Luciano Naninho,Vila Nova,Vila Nova,"AMF, CF, LCMF",AMF,9,32,150000,2025-06-30,18,799,Brazil,Brazil,right,172,68,no,2.593934,10.36288,7.773260000000001,3.49272,1.35009,0.16,2.59,5.965948,1.241406,0.79,BRA2,Testing,2024,1.0,1.0,1.0
9,C. Ortiz,Sport Recife,Sport Recife,"AMF, CF, LCMF",AMF,9,32,700000,2024-12-31,27,1890,Argentina,Argentina,right,169,68,no,2.045619,6.094332,3.7128,2.096199,0.714744,0.17,1.38,3.619,0.141804,0.19,BRA2,Testing,2024,0.2114837930822145,0.2046432997648183,0.2080635464235164
10,Thomás Bedinelli,Chapecoense,Chapecoense,"AMF, CF, RAMF",AMF,9,31,300000,2025-12-31,27,1618,Brazil,"Brazil, Italy",right,180,76,no,0.39,4.837091999999999,1.888074,3.948755999999999,2.168914,0.03,0.72,1.892934,0.0,0.17,BRA2,Testing,2024,0.5269925973992816,0.4614407918352302,0.4942166946172559
11,Gegé,CRB,CRB,"AMF, LCMF, RCMF",AMF,9,30,200000,2024-12-31,31,2655,Brazil,Brazil,left,175,70,no,2.509171,8.43999,5.524497,1.661127,0.7774,0.17,1.69,5.561946000000001,0.235,0.2,BRA2,Testing,2024,0.414722009138932,0.3876777986294454,0.4011999038841887
12,Yann Rolim,Ituano,Ituano,"AMF, LCMF, CF",AMF,9,29,250000,2025-04-15,17,940,Brazil,Brazil,right,173,68,no,1.4375,8.808,4.597038,2.966915,1.72378,0.03,0.67,5.365712000000001,0.0,0.1,BRA2,Testing,2024,0.4996356820319744,0.5175726928231237,0.5086041874275491
13,Isaque,Mirassol,Mirassol,"AMF, CF, LCMF",AMF,9,27,800000,2024-11-30,17,854,Brazil,Brazil,right,178,73,no,0.420021,7.800495999999999,2.21673,1.897022,0.632,0.05,1.05,3.16212,0.11,0.21,BRA2,Testing,2024,0.0,0.0,0.0
14,Juninho,Paysandu,Paysandu,"AMF, RW, LAMF",AMF,9,25,0,,19,1039,Brazil,Brazil,right,168,62,no,0.953316,6.235055999999999,2.773316,4.85112,1.561665,0.04,0.35,2.080052,0.173342,0.17,BRA2,Testing,2024,0.5633984964748896,0.5013447041509326,0.5323716003129111
